bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:08,960", "levelname": "INFO", "name": "httpx2", "document_id": "477ce944-1ffb-49e0-b129-8579960bbf10", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:12,725", "levelname": "INFO", "name": "httpx2", "document_id": "477ce944-1ffb-49e0-b129-8579960bbf10", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:13,646", "levelname": "INFO", "name": "httpx2", "document_id": "477ce944-1ffb-49e0-b129-8579960bbf10", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:13,663", "levelname": "INFO", "name": "worker", "document_id": "477ce944-1ffb-49e0-b129-8579960bbf10", "message": "recorded COMPLETED as COMPLETE"}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:13,678", "levelname": "INFO", "name": "worker", "document_id": "b8f6538c-8e2a-4408-862b-3260e94c4036", "message": "claimed, attempt 1 of 3"}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:14,867", "levelname": "INFO", "name": "httpx2", "document_id": "b8f6538c-8e2a-4408-862b-3260e94c4036", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:15,845", "levelname": "INFO", "name": "httpx2", "document_id": "b8f6538c-8e2a-4408-862b-3260e94c4036", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:43:15,858", "levelname": "INFO", "name": "worker", "document_id": "b8f6538c-8e2a-4408-862b-3260e94c4036", "message": "recorded COMPLETED as UNSUPPORTED"}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:44:51,573", "levelname": "INFO", "name": "worker", "document_id": "fab8ea53-38b6-445c-8790-033cb8522e7b", "message": "claimed, attempt 1 of 3"}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:44:53,060", "levelname": "INFO", "name": "httpx2", "document_id": "fab8ea53-38b6-445c-8790-033cb8522e7b", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:44:55,338", "levelname": "INFO", "name": "httpx2", "document_id": "fab8ea53-38b6-445c-8790-033cb8522e7b", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:44:56,618", "levelname": "INFO", "name": "httpx2", "document_id": "fab8ea53-38b6-445c-8790-033cb8522e7b", "message": "HTTP Request: POST https://api.openai.com/v1/chat/completions \"HTTP/1.1 200 OK\""}
bba620ffd6a8_docintel-worker-1  | {"asctime": "2026-09-20 14:44:56,640", "levelname": "INFO", "name": "worker", "document_id": "fab8ea53-38b6-445c-8790-033cb8522e7b", "message": "recorded COMPLETED as COMPLETE"}
